id;ranking_genero;titulo;precio;editorial;genero;idioma;numero_paginas;encuadernacion;fecha_lanzamiento;año_de_edicion;img_portada;autor_id
49;nn49;OLVIDADAS (TENIENTE LUCÍA GUERRERO 2);22,00;Salamandra;Novela negra;Castellano;400;Tapa blanda;22/05/2025;2025;https://imagessl5.casadellibro.com/a/l/s7/05/9788410340305.webp;36
50;nn50;LA CATASTROFICA VISITA AL ZOO;19,90;La Campana;Novela negra;Catalán;224;Tapa blanda;03/04/2025;2025;https://imagessl9.casadellibro.com/a/l/s7/79/9788419836779.webp;3
51;nn51;LA MUERTE AJENA;21,90;Alfaguara;Novela negra;Castellano;384;Tapa blanda;29/05/2025;2025;https://imagessl7.casadellibro.com/a/l/s7/67/9788410299467.webp;37
52;nn52;LA PACIENTE SILENCIOSA;21,90;Alfaguara;Novela negra;Castellano;384;Tapa blanda;05/09/2019;2019;https://imagessl3.casadellibro.com/a/l/s7/03/9788420435503.webp;38
53;nn53;LA PROFESORA;20,90;Suma;Novela negra;Castellano;360;Tapa blanda;18/09/2025;2025;https://imagessl7.casadellibro.com/a/l/s7/07/9788491299707.webp;1
54;nn54;EL CORAZON DE LOS AHOGADOS;5,95;Espasa;Novela negra;Castellano;344;Tapa blanda;02/02/2022;2022;https://imagessl2.casadellibro.com/a/l/s7/92/9788467063592.webp;39
56;nn56;VICTORIAN PSYCHO;19,90;Lumen;Novela negra;Castellano;216;Tapa blanda;09/01/2025;2025;https://imagessl5.casadellibro.com/a/l/s7/95/9788426424495.webp;41
57;nn57;EL CAZADOR DE LIBROS;24,90;B;Novela negra;Castellano;608;Tapa blanda;05/06/2025;2025;https://imagessl5.casadellibro.com/a/l/s7/75/9788466682275.webp;42
58;nn58;SUEÑOS DE BRONCE (SERIE FAYE 3);21,90;Editorial Planeta;Novela negra;Castellano;392;Tapa blanda;05/02/2025;2025;https://imagessl3.casadellibro.com/a/l/s7/23/9788408298823.webp;43
59;nn59;ALMA NEGRA (INSPECTORA ANE CESTERO 4);21,90;Plaza&janes;Novela negra;Castellano;456;Tapa blanda;07/01/2025;2025;https://imagessl0.casadellibro.com/a/l/s7/70/9788401034770.webp;44
60;nn60;LA DESCONOCIDA;21,90;Rba Libros;Novela negra;Castellano;480;Tapa blanda;02/04/2025;2025;https://imagessl8.casadellibro.com/a/l/s7/68/9788411326568.webp;45
61;nn61;EL EXAMINADOR;22,95;Atico de los Libros;Novela negra;Castellano;600;Tapa blanda;05/05/2025;2025;https://imagessl7.casadellibro.com/a/l/s7/97/9788419703897.webp;46
62;nn62;L ASSISTENTA (L ASSISTENTA 1);20,90;Rosa Dels Vents;Novela negra;Catalán;344;Tapa blanda;10/04/2025;2025;https://imagessl7.casadellibro.com/a/l/s7/47/9788419756947.webp;1
63;nn63;EL GABINETE DEL DR. LENG (INSPECTOR PENDERGAST 21);22,90;Plaza&janes;Novela negra;Castellano;432;Tapa blanda;10/04/2025;2025;https://imagessl0.casadellibro.com/a/l/s7/20/9788401032820.webp;47
64;nn64;CRUCES DE PEDRA NA BRETAÑA, AS;21,90;Grijalbo;Novela negra;Castellano;504;Tapa blanda;01/06/2023;2023;https://imagessl0.casadellibro.com/a/l/s7/90/9788425364990.webp;21
65;nn65;AGATHA RAISIN Y EL CRIMEN DE LA MANSIÓN (AGATHA RAISIN 10);18,00;Salamandra;Novela negra;Castellano;256;Tapa blanda;10/07/2025;2025;https://imagessl1.casadellibro.com/a/l/s7/81/9788410340381.webp;48
66;nn66;LA MÁSCARA DE DIMITRIOS (COLECCION ZENDA);17,00;Editora y Distribuidora Hispano Americana, S.A.;Novela negra;Castellano;352;Tapa blanda;12/02/2025;2025;https://imagessl5.casadellibro.com/a/l/s7/65/9788435055765.webp;49
67;nn67;LOS NIÑOS DE LA CASA DEL LAGO;20,90;Harpercollins;Novela negra;Castellano;400;Tapa blanda;23/04/2025;2025;https://imagessl9.casadellibro.com/a/l/s7/59/9788410642959.webp;50
68;nn68;TODO MUERE (EDICIÓN ESPECIAL LIMITADA) (TODO ARDE 3);17,90;B;Novela negra;Castellano;648;Tapa blanda;10/07/2025;2025;https://imagessl5.casadellibro.com/a/l/s7/35/9788466682435.webp;29
69;nn69;RESOLVEMOS ASESINATOS;21,90;Editorial Planeta;Novela negra;Castellano;504;Tapa blanda;05/03/2025;2025;https://imagessl6.casadellibro.com/a/l/s7/96/9788408300496.webp;51
70;nn70;LA HORA DEL LOBO (TRILOGIA DEL VERDUGO 2);21,90;Grijalbo;Novela negra;Castellano;560;Tapa blanda;13/06/2024;2024;https://imagessl2.casadellibro.com/a/l/s7/92/9788425367892.webp;21
71;nn71;CATEDRALES;20,90;Alfaguara;Novela negra;Castellano;336;Tapa blanda;21/01/2021;2021;https://imagessl4.casadellibro.com/a/l/s7/94/9788420455594.webp;37
72;nn72;STRANGE PICTURES;20,90;Reservoir Books;Novela negra;Castellano;288;Tapa blanda;23/01/2025;2025;https://imagessl3.casadellibro.com/a/l/s7/63/9788410352063.webp;28
73;nn73;SUAVE ES LA FURIA;21,90;Alfaguara;Novela negra;Castellano;344;Tapa blanda;05/06/2025;2025;https://imagessl7.casadellibro.com/a/l/s7/37/9788410299337.webp;52
74;nn74;FRAGRANCIA;20,90;Lumen;Novela negra;Castellano;280;Tapa blanda;12/06/2025;2025;https://imagessl8.casadellibro.com/a/l/s7/38/9788426432438.webp;53
75;nn75;LA HABITACIÓN DE LAS VOCES;12,90;Newton Compton Editores;Novela negra;Castellano;416;Tapa dura;16/06/2025;2025;https://imagessl1.casadellibro.com/a/l/s7/51/9788410359451.webp;54
76;nn76;EL HIJO OLVIDADO;22,90;B;Novela negra;Castellano;576;Tapa blanda;25/01/2024;2024;https://imagessl8.casadellibro.com/a/l/s7/18/9788466677318.webp;55
77;nn77;EL BRILLO DE LAS LUCIERNAGAS;22,90;Plaza & Janes;Novela negra;Castellano;376;Tapa blanda;03/04/2025;2025;https://imagessl7.casadellibro.com/a/l/s7/77/9788401037177.webp;56
78;nn78;LA LISTA DE LOS SIETE;24,95;Impedimenta;Novela negra;Castellano;496;Tapa blanda;02/06/2025;2025;https://imagessl8.casadellibro.com/a/l/s7/78/9791387641078.webp;57
79;nn79;UNA ANCIANA ENCANTADORA... Y LETAL (SERIE MISTERIOS DE UNA ANCIAN A ENCANTADORA 1) (COZY MISTERY);10,95;Editorial Alma;Novela negra;Castellano;112;Tapa blanda;11/06/2025;2025;https://imagessl4.casadellibro.com/a/l/s7/04/9788410206304.webp;58
80;nn80;CUANDO LA TORMENTA PASE;22,90;Editorial Planeta;Novela negra;Castellano;480;Tapa dura;19/06/2024;2024;https://imagessl9.casadellibro.com/a/l/s7/49/9788408290049.webp;59
81;nn81;EL ESPLENDOR;21,90;Editorial Planeta;Novela negra;Castellano;416;Tapa blanda;29/01/2025;2025;https://imagessl1.casadellibro.com/a/l/s7/21/9788408297321.webp;60
82;nn82;LOS HIJOS DEL JUSTO;21,95;Almuzara;Novela negra;Castellano;336;Tapa blanda;10/06/2025;2025;https://imagessl7.casadellibro.com/a/l/s7/97/9788410527997.webp;61
83;nn83;ANTES DE DICIEMBRE;18,95;Editorial Alma;Novela negra;Castellano;432;Tapa blanda;11/06/2025;2025;https://imagessl4.casadellibro.com/a/l/s7/94/9788410206694.webp;62
84;nn84;A LA VISTA DE TODOS (SERIE KAREN BLECKER / BRIGADA CANO 4);21,95;Siruela;Novela negra;Castellano;432;Tapa blanda;14/05/2025;2025;https://imagessl1.casadellibro.com/a/l/s7/91/9788410415591.webp;63
85;nn85;ASESINATOS EN LA DELICIOSA TETERÍA DE LA SEÑORA WONG;20,00;Duomo Ediciones;Novela negra;Castellano;384;Tapa blanda;26/05/2025;2025;https://imagessl3.casadellibro.com/a/l/s7/83/9788419834683.webp;64
86;nn86;NO DORMIRÀS (ED. CAT);21,90;Rosa Dels Vents;Novela negra;Catalán;368;Tapa blanda;05/09/2024;2024;https://imagessl6.casadellibro.com/a/l/s7/66/9788419756466.webp;65
87;nn87;EL BUEN PADRE (SERIE INDIRA RAMOS 1);20,90;Reservoir Books;Novela negra;Castellano;416;Tapa blanda;14/01/2021;2021;https://imagessl0.casadellibro.com/a/l/s7/90/9788417910990.webp;10
88;nn88;CONCLAVE;19,90;Grijalbo;Novela negra;Castellano;336;Tapa blanda;16/02/2017;2017;https://imagessl4.casadellibro.com/a/l/s7/54/9788425354854.webp;66
89;nn89;EL MISTERIO DE LA MUJER TATUADA;23,00;Salamandra;Novela negra;Castellano;400;Tapa blanda;13/03/2025;2025;https://imagessl1.casadellibro.com/a/l/s7/41/9788419851741.webp;67
90;nn90;EL REBAÑO;21,90;Suma;Novela negra;Castellano;368;Tapa blanda;20/03/2025;2025;https://imagessl9.casadellibro.com/a/l/s7/39/9788410257139.webp;68
91;nn91;EL CARTEL VASCO;24,85;Bao Bilbao Ediciones S.L.;Novela negra;Castellano;336;Tapa dura;24/04/2025;2025;https://imagessl1.casadellibro.com/a/l/s7/11/9788409702411.webp;69
92;nn92;CITA CON LA MUERTE;23,90;Roca Editorial;Novela negra;Castellano;448;Tapa dura;05/06/2025;2025;https://imagessl4.casadellibro.com/a/l/s7/44/9788410274044.webp;70
93;nn93;EL CASO ALASKA SANDERS;23,90;Alfaguara;Novela negra;Castellano;592;Tapa blanda;23/06/2022;2022;https://imagessl7.casadellibro.com/a/l/s7/27/9788420462127.webp;3
94;nn94;EL ENIGMA DE LA HABITACIÓN 622;23,90;Alfaguara;Novela negra;Castellano;624;Tapa blanda;03/06/2020;2020;https://imagessl9.casadellibro.com/a/l/s7/89/9788420439389.webp;3
95;nn95;EL ASESINATO DE SOCRATES (FINALISTA PREMIO PLANETA 2016);21,90;Editorial Planeta;Novela negra;Castellano;768;Tapa dura;03/11/2016;2016;https://imagessl3.casadellibro.com/a/l/s7/83/9788408163183.webp;6
96;nn96;TODO VUELVE (SERIE TODO ARDE 2);23,90;B;Novela negra;Castellano;608;Tapa dura;24/10/2023;2023;https://imagessl0.casadellibro.com/a/l/s7/80/9788466675680.webp;29
97;nn97;LOS ESCORPIONES;23,90;Lumen;Novela negra;Castellano;816;Tapa blanda;22/02/2024;2024;https://imagessl4.casadellibro.com/a/l/s7/84/9788426418784.webp;71
98;nn98;INDIRA RAMOS (EDICIÓN ÓMNIBUS);34,90;Reservoir Books;Novela negra;Castellano;992;Tapa blanda;30/01/2025;2025;https://imagessl6.casadellibro.com/a/l/s7/76/9788410352476.webp;10
99;nn99;LUCIA;21,00;Salamandra;Novela negra;Castellano;416;Tapa blanda;04/05/2023;2023;https://imagessl5.casadellibro.com/a/l/s7/85/9788418681585.webp;36
100;nn100;VERITY. LA SOMBRA DE UN ENGAÑO;20,90;Editorial Planeta;Novela negra;Castellano;416;Tapa dura;08/03/2023;2023;https://imagessl5.casadellibro.com/a/l/s7/55/9788408269755.webp;72
101;ne1;HAUNTING ADELINE: NUNCA TE DEJARÉ (DUETO DEL GATO Y EL RATÓN 1);19,95;Montena;Novela erótica;Castellano;592;Tapa blanda;23/02/2023;2023;https://imagessl0.casadellibro.com/a/l/s7/90/9788419421890.webp;73
102;ne2;LA TENTACIÓN MÁS OSCURA;18,95;Crossbooks;Novela erótica;Castellano;576;Tapa blanda;28/05/2025;2025;https://imagessl0.casadellibro.com/a/l/s7/40/9788408303640.webp;74
103;ne3;GOD OF MALICE;19,95;Montena;Novela erótica;Castellano;528;Tapa blanda;04/04/2024;2024;https://imagessl5.casadellibro.com/a/l/s7/05/9788410050105.webp;75
105;ne5;HAUNTING ADELINE: TE ENCONTRARÉ (DUETO DEL GATO Y EL RATÓN 2);21,95;Montena;Novela erótica;Castellano;672;Tapa blanda;14/09/2023;2023;https://imagessl2.casadellibro.com/a/l/s7/12/9788418483912.webp;73
106;ne6;GOD OF WRATH (LEGADO DE DIOSES 3);19,95;Montena;Novela erótica;Castellano;528;Tapa blanda;27/02/2025;2025;https://imagessl1.casadellibro.com/a/l/s7/31/9788410298231.webp;75
107;ne7;GOD OF PAIN (LEGADO DE DIOSES 2);19,95;Montena;Novela erótica;Castellano;488;Tapa blanda;23/01/2025;2025;https://imagessl3.casadellibro.com/a/l/s7/63/9788410395763.webp;75
108;ne8;LASCIVIA (PECADOS PLACENTEROS 1);18,95;Montena;Novela erótica;Castellano;432;Tapa blanda;28/04/2022;2022;https://imagessl0.casadellibro.com/a/l/s7/10/9788419085610.webp;77
109;ne9;LASCIVIA (PECADOS PLACENTEROS 2);18,95;Montena;Novela erótica;Castellano;448;Tapa blanda;19/05/2022;2022;https://imagessl6.casadellibro.com/a/l/s7/66/9788418798566.webp;77
110;ne10;LUJURIA LIBRO 2 (PECADOS PLACENTEROS 2);25,95;Montena;Novela erótica;Castellano;1120;Tapa blanda;05/12/2023;2023;https://imagessl2.casadellibro.com/a/l/s7/52/9788419169952.webp;77
111;ne11;LUJURIA LIBRO 1 (PECADOS PLACENTEROS 2);19,95;Montena;Novela erótica;Castellano;656;Tapa blanda;23/03/2023;2023;https://imagessl8.casadellibro.com/a/l/s7/38/9788419169938.webp;77
112;ne12;PADRE;18,95;Vr Europa;Novela erótica;Castellano;312;Tapa blanda;01/07/2024;2024;https://imagessl4.casadellibro.com/a/l/s7/84/9788419873484.webp;78
113;ne13;SORPRENDEME;14,90;Esencia;Novela erótica;Castellano;432;Tapa blanda;07/11/2013;2013;https://imagessl7.casadellibro.com/a/l/s7/27/9788408120827.webp;79
114;ne14;EL EMPERADOR (DARK VERSE 3);20,90;B;Novela erótica;Castellano;352;Tapa blanda;10/04/2025;2025;https://imagessl4.casadellibro.com/a/l/s7/44/9788466680844.webp;80
115;ne15;PIDEME LO QUE QUIERAS O DEJAME;14,90;Esencia;Novela erótica;Castellano;416;Tapa blanda;02/07/2013;2013;https://imagessl2.casadellibro.com/a/l/s7/82/9788408118282.webp;79
116;ne16;PIDEME LO QUE QUIERAS AHORA Y SIEMPRE;14,90;Esencia;Novela erótica;Castellano;432;Tapa blanda;26/03/2013;2013;https://imagessl3.casadellibro.com/a/l/s7/73/9788408105473.webp;79
117;ne17;PECADOR;19,95;Vr Europa;Novela erótica;Castellano;408;Tapa blanda;20/01/2025;2025;https://imagessl2.casadellibro.com/a/l/s7/42/9788419873842.webp;78
118;ne18;PÍDEME LO QUE QUIERAS Y YO TE LO DARE;15,90;Esencia;Novela erótica;Castellano;720;Tapa blanda;05/11/2015;2015;https://imagessl5.casadellibro.com/a/l/s7/65/9788408147565.webp;79
119;ne19;ZORRAS;20,90;B;Novela erótica;Castellano;288;Tapa blanda;02/07/2020;2020;https://imagessl3.casadellibro.com/a/l/s7/93/9788466667593.webp;81
120;ne20;PIDEME LO QUE QUIERAS;14,90;Esencia;Novela erótica;Castellano;464;Tapa blanda;08/11/2012;2012;https://imagessl3.casadellibro.com/a/l/s7/13/9788408034513.webp;79
121;ne21;MAS OSCURO: CINCUENTA SOMBRAS MAS OSCURAS CONTADA POR CHRISTIAN;22,90;Grijalbo;Novela erótica;Castellano;640;Tapa blanda;05/12/2017;2017;https://imagessl3.casadellibro.com/a/l/s7/23/9788425356223.webp;82
122;ne22;PASA LA NOCHE CONMIGO;15,90;Esencia;Novela erótica;Castellano;544;Tapa blanda;08/11/2016;2016;https://imagessl8.casadellibro.com/a/l/s7/28/9788408162728.webp;79
123;ne23;PESTE, ALCOHOL Y ROCK N ROLL;22,00;Edicion Personal;Novela erótica;Castellano;440;Tapa blanda con solapas;23/11/2021;2021;https://imagessl5.casadellibro.com/a/l/s7/25/9788499468525.webp;83
124;ne24;"LIBERADO (""CINCUENTA SOMBRAS"" CONTADA POR CHRISTIAN GREY 3)";22,90;Grijalbo;Novela erótica;Castellano;720;Tapa blanda;04/06/2021;2021;https://imagessl1.casadellibro.com/a/l/s7/31/9788425361531.webp;82
125;ne25;ADIVINA QUIEN SOY ESTA NOCHE;15,90;Esencia;Novela erótica;Castellano;496;Tapa blanda;03/06/2014;2014;https://imagessl7.casadellibro.com/a/l/s7/77/9788408130277.webp;79
126;ne26;ALGUIEN QUE NO SOY (MI ELECCIÓN 1);21,90;Suma;Novela erótica;Castellano;424;Tapa blanda;22/01/2015;2015;https://imagessl7.casadellibro.com/a/l/s7/07/9788483657607.webp;84
127;ne27;ADIVINA QUIEN SOY;15,90;Esencia;Novela erótica;Castellano;448;Tapa blanda;25/03/2014;2014;https://imagessl2.casadellibro.com/a/l/s7/12/9788408125112.webp;79
128;ne28;GUN MOLL;11,95;Reino de Cordelia S.L.;Novela erótica;Castellano;56;Tapa dura;08/07/2025;2025;https://imagessl6.casadellibro.com/a/l/s7/96/9791387599096.webp;85
129;ne29;ICE PLANET BARBARIANS;16,90;Esencia;Novela erótica;Castellano;312;Tapa blanda;30/08/2023;2023;https://imagessl4.casadellibro.com/a/l/s7/94/9788408277194.webp;86
130;ne30;ALMAS;20,90;B;Novela erótica;Castellano;352;Tapa blanda;04/11/2021;2021;https://imagessl4.casadellibro.com/a/l/s7/24/9788466669924.webp;81
131;ne31;YO SOY ERIC ZIMMERMAN;15,90;Esencia;Novela erótica;Castellano;544;Tapa blanda;07/11/2017;2017;https://imagessl0.casadellibro.com/a/l/s7/00/9788408177500.webp;79
132;ne32;LAS EDADES DE LULU (3ª ED.);15,00;Tusquets Editores S.A.;Novela erótica;Castellano;288;Tapa blanda;01/03/1989;1989;https://imagessl5.casadellibro.com/a/l/s7/45/9788472233645.webp;87
133;ne33;ÉXTASIS;20,90;B;Novela erótica;Castellano;408;Tapa blanda;01/06/2023;2023;https://imagessl3.casadellibro.com/a/l/s7/63/9788466672863.webp;81
134;ne34;MANHATTAN CRAZY LOVE;12,90;Esencia;Novela erótica;Castellano;352;Tapa blanda;07/09/2017;2017;https://imagessl5.casadellibro.com/a/l/s7/85/9788408175285.webp;88
