customer_id;gender;age_group
161;M;<20
162;F;40-59
163;M;20-39
164;M;60+
165;F;20-39
166;M;<20
167;F;20-39
168;F;20-39
169;M;60+
170;F;40-59
171;M;20-39
172;F;20-39
173;M;40-59
174;F;40-59
175;M;<20
176;M;<20
177;M;<20
178;F;20-39
179;F;20-39
180;F;<20
181;F;20-39
182;F;20-39
183;F;<20
184;M;60+
185;F;40-59
186;F;20-39
187;M;20-39
188;M;20-39
189;F;60+
190;M;40-59
191;F;20-39
192;M;60+
193;M;40-59
194;F;40-59
195;M;20-39
196;M;<20
197;F;40-59
198;F;20-39
199;M;40-59
200;M;40-59
201;F;20-39
202;F;20-39
203;F;20-39
204;M;20-39
205;M;40-59
206;M;40-59
207;M;20-39
208;F;40-59
209;M;20-39
210;F;40-59
211;F;20-39
212;F;40-59
213;M;40-59
214;F;20-39
215;F;20-39
216;F;60+
217;M;20-39
218;M;40-59
219;F;60+
220;M;60+
221;M;20-39
222;M;40-59
223;F;60+
224;F;40-59
225;M;<20
226;F;<20
227;M;40-59
228;F;20-39
229;F;20-39
230;M;20-39
231;M;40-59
232;M;20-39
233;F;60+
234;F;40-59
235;F;60+
236;F;60+
237;M;20-39
238;F;40-59
239;M;<20
240;M;60+
241;F;20-39
242;F;40-59
243;M;60+
244;F;<20
245;F;60+
246;F;<20
247;F;20-39
248;M;20-39
249;M;20-39
250;M;40-59
251;F;60+
252;F;20-39
253;M;40-59
254;M;60+
255;M;40-59
256;F;<20
257;F;60+
258;M;<20
259;M;40-59
260;F;40-59
261;M;40-59
262;F;<20
263;M;20-39
264;M;40-59
265;F;<20
266;M;20-39
267;M;40-59
268;M;40-59
269;M;20-39
270;M;20-39
271;M;60+
272;M;20-39
273;M;<20
274;F;20-39
275;F;20-39
276;M;60+
277;M;20-39
278;F;<20
279;F;20-39
280;F;<20
281;M;20-39
282;M;60+
283;M;40-59
284;M;<20
285;F;20-39
286;M;20-39
287;M;<20
288;M;40-59
289;F;20-39
290;M;40-59
291;F;60+
292;M;20-39
293;F;60+
294;M;20-39
295;F;20-39
296;F;60+
297;F;<20
298;F;20-39
299;F;40-59
300;F;20-39
301;F;60+
302;M;20-39
303;F;40-59
304;F;<20
305;F;<20
306;M;20-39
307;M;60+
308;F;<20
309;M;60+
310;M;20-39
311;M;20-39
312;M;20-39
313;M;<20
314;M;60+
315;M;20-39
316;M;40-59
317;M;40-59
318;F;20-39
319;M;40-59
320;F;60+
321;F;40-59
322;M;20-39
323;M;40-59
324;F;40-59
325;F;20-39
326;F;40-59
327;F;20-39
328;F;40-59
329;F;60+
330;M;60+
331;F;40-59
332;M;40-59
333;F;40-59
334;F;20-39
335;M;20-39
336;F;20-39
337;M;<20
338;F;60+
339;M;60+
340;F;20-39
341;M;20-39
342;F;40-59
343;F;20-39
344;F;40-59
345;F;60+
346;F;20-39
347;F;20-39
348;M;20-39
349;F;<20
350;M;20-39
351;F;<20
352;M;<20
353;F;20-39
354;F;<20
355;M;40-59
356;F;<20
357;F;60+
358;F;20-39
359;M;<20
360;F;<20
361;F;40-59
362;M;20-39
363;M;20-39
364;M;<20
365;F;60+
366;M;<20
367;F;20-39
368;F;60+
369;M;20-39
370;F;20-39
371;F;40-59
372;M;20-39
373;M;<20
374;M;20-39
375;M;<20
376;M;60+
377;F;40-59
378;M;40-59
379;M;20-39
380;F;40-59
381;F;40-59
382;F;<20
383;F;60+
384;M;40-59
385;M;40-59
386;F;20-39
387;F;<20
388;F;40-59
389;M;40-59
390;F;20-39
391;F;<20
392;M;40-59
393;F;20-39
394;F;20-39
395;M;40-59
396;M;<20
397;F;<20
398;M;<20
399;M;60+
400;M;20-39
401;M;40-59
402;F;60+
403;F;40-59
404;M;20-39
405;F;20-39
406;F;20-39
407;M;40-59
408;F;60+
409;M;40-59
410;F;20-39
411;F;20-39
412;F;60+
413;M;<20
414;F;60+
415;M;20-39
416;M;40-59
417;M;40-59
418;F;20-39
419;M;20-39
420;F;60+
421;F;20-39
422;M;20-39
423;M;20-39
424;M;20-39
425;F;40-59
426;F;<20
427;M;20-39
428;F;60+
429;M;<20
430;F;20-39
431;F;40-59
432;F;60+
433;F;40-59
434;F;40-59
435;M;20-39
436;M;20-39
437;M;60+
438;F;60+
439;F;20-39
440;F;20-39
441;F;20-39
442;M;<20
443;F;60+
444;M;40-59
445;M;20-39
446;F;20-39
447;F;20-39
448;F;<20
449;M;40-59
450;F;20-39
451;M;20-39
452;F;40-59
453;F;60+
454;M;<20
455;M;20-39
456;M;20-39
457;F;20-39
458;M;20-39
459;F;40-59
460;F;<20
461;F;<20
462;M;60+
463;F;20-39
464;M;40-59
465;F;40-59
466;F;40-59
467;F;40-59
468;F;60+
469;M;40-59
470;F;20-39
471;M;20-39
472;M;20-39
473;M;20-39
474;M;<20
475;M;20-39
476;M;20-39
477;M;<20
478;F;20-39
479;F;40-59
480;M;40-59
481;M;40-59
482;M;20-39
483;F;60+
484;M;40-59
485;M;<20
486;M;60+
487;M;<20
488;M;40-59
489;F;40-59
490;F;20-39
491;F;40-59
492;F;20-39
493;F;<20
494;M;<20
495;F;<20
496;F;<20
497;M;40-59
498;F;20-39
499;M;20-39
500;F;40-59
501;F;<20
502;F;20-39
503;F;40-59
504;F;60+
505;F;20-39
506;F;<20
507;M;40-59
508;F;60+
509;M;20-39
510;M;20-39
511;M;<20
512;F;40-59
513;M;60+
514;M;40-59
515;M;20-39
516;M;40-59
517;M;40-59
518;F;20-39
519;M;40-59
520;F;20-39
521;F;20-39
522;M;40-59
523;M;20-39
524;F;60+
525;M;20-39
526;M;20-39
527;F;20-39
528;F;20-39
529;F;20-39
530;M;40-59
531;F;20-39
532;F;20-39
533;M;40-59
534;F;<20
535;M;40-59
536;M;20-39
537;F;20-39
538;M;40-59
539;M;40-59
540;F;60+
541;F;20-39
542;F;20-39
543;F;40-59
544;F;40-59
545;M;40-59
546;M;20-39
547;M;40-59
548;M;20-39
549;F;20-39
550;M;<20
551;M;20-39
552;M;40-59
553;M;20-39
554;F;20-39
555;M;60+
556;M;40-59
557;M;20-39
558;M;60+
559;F;20-39
560;M;40-59
561;M;20-39
562;M;20-39
563;F;20-39
564;F;<20
565;F;20-39
566;F;20-39
567;F;40-59
568;M;20-39
569;M;<20
570;F;60+
571;M;40-59
572;F;60+
573;M;20-39
574;F;<20
575;F;40-59
576;F;20-39
577;F;<20
578;F;60+
579;F;40-59
580;M;40-59
581;F;20-39
582;F;40-59
583;M;20-39
584;M;60+
585;F;20-39
586;F;<20
587;M;<20
588;M;40-59
589;M;60+
590;M;60+
591;F;40-59
592;M;60+
593;M;40-59
594;F;20-39
595;M;40-59
596;M;<20
597;F;20-39
598;F;20-39
599;F;20-39
600;F;60+
601;M;60+
602;F;20-39
603;F;40-59
604;F;20-39
605;F;<20
606;F;20-39
607;F;20-39
608;M;20-39
609;F;20-39
610;M;<20
611;F;20-39
612;F;60+
613;F;<20
614;F;20-39
615;M;20-39
616;F;20-39
617;F;20-39
618;M;<20
619;M;40-59
620;M;20-39
621;F;40-59
622;M;40-59
623;F;20-39
624;M;20-39
625;F;20-39
626;M;20-39
627;F;<20
628;M;20-39
629;F;40-59
630;F;<20
631;F;<20
632;F;40-59
633;M;20-39
634;M;40-59
635;M;60+
636;M;60+
637;F;20-39
638;F;20-39
639;F;40-59
640;F;40-59
641;F;40-59
642;F;20-39
643;M;<20
644;M;20-39
645;F;<20
646;F;<20
647;M;60+
648;F;<20
649;F;40-59
650;M;60+
651;M;20-39
652;F;20-39
653;F;40-59
654;M;20-39
655;F;20-39
656;M;40-59
657;F;40-59
658;M;40-59
659;F;60+
660;M;20-39
661;M;40-59
662;F;40-59
663;M;40-59
664;M;40-59
665;M;40-59
666;F;60+
667;F;20-39
668;F;40-59
669;M;20-39
670;M;40-59
671;M;40-59
672;F;40-59
673;F;20-39
674;F;20-39
675;F;20-39
676;M;20-39
677;F;20-39
678;F;60+
679;M;20-39
680;M;60+
681;M;20-39
682;M;40-59
683;M;40-59
684;M;40-59
685;F;40-59
686;M;40-59
687;M;60+
688;F;20-39
689;F;<20
690;F;20-39
691;M;40-59
692;F;20-39
693;M;20-39
694;M;40-59
695;F;20-39
696;F;40-59
697;F;40-59
698;F;40-59
699;F;40-59
700;M;60+
701;M;40-59
702;M;60+
703;M;<20
704;F;40-59
705;M;40-59
706;F;20-39
707;F;20-39
708;F;20-39
709;M;20-39
710;M;60+
711;F;20-39
712;F;20-39
713;F;40-59
714;F;20-39
715;F;<20
716;M;20-39
717;F;20-39
718;M;20-39
719;F;40-59
720;F;40-59
721;F;40-59
722;M;20-39
723;M;20-39
724;F;60+
725;M;20-39
726;M;<20
727;M;40-59
728;M;20-39
729;M;40-59
730;F;40-59
731;M;60+
732;M;60+
733;M;20-39
734;M;40-59
735;M;20-39
736;F;40-59
737;M;40-59
738;M;<20
739;M;<20
740;M;<20
741;M;<20
742;M;20-39
743;F;60+
744;M;20-39
745;F;40-59
746;M;40-59
747;M;40-59
748;M;20-39
749;F;60+
750;F;40-59
751;M;40-59
752;M;60+
753;M;40-59
754;M;20-39
755;F;60+
756;M;20-39
757;M;40-59
758;F;<20
759;M;<20
760;M;20-39
761;F;<20
762;M;60+
763;M;<20
764;M;40-59
765;F;20-39
766;M;60+
767;M;20-39
768;M;<20
769;M;<20
770;F;20-39
771;M;60+
772;F;60+
773;F;20-39
774;F;20-39
775;M;<20
776;F;20-39
777;F;40-59
778;M;20-39
779;F;40-59
780;F;60+
781;M;<20
782;F;20-39
783;M;20-39
784;F;<20
785;F;20-39
786;M;40-59
787;F;<20
788;M;40-59
789;F;60+
790;F;60+
791;M;40-59
792;M;20-39
793;M;<20
794;M;20-39
795;M;60+
796;M;60+
797;M;20-39
798;M;20-39
799;F;20-39
800;F;20-39
801;F;60+
802;M;20-39
803;F;20-39
804;F;20-39
805;M;<20
806;M;20-39
807;F;60+
808;M;<20
809;F;40-59
810;F;20-39
811;M;20-39
812;M;<20
813;F;20-39
814;F;<20
815;M;20-39
816;F;40-59
817;F;40-59
818;F;60+
819;F;20-39
820;M;40-59
821;M;40-59
822;F;20-39
823;M;20-39
824;F;20-39
825;F;40-59
826;M;20-39
827;F;20-39
828;M;60+
829;F;<20
830;M;60+
831;F;40-59
832;F;40-59
833;M;40-59
834;F;20-39
835;F;40-59
836;F;40-59
837;F;40-59
838;F;20-39
839;M;20-39
840;F;20-39
841;M;20-39
842;F;40-59
843;F;40-59
844;M;40-59
845;M;40-59
846;F;20-39
847;M;20-39
848;F;20-39
849;M;20-39
850;F;<20
851;M;20-39
852;M;20-39
853;F;40-59
854;F;<20
855;M;20-39
856;M;<20
857;F;40-59
858;F;40-59
859;M;20-39
860;F;<20
861;F;60+
862;F;40-59
863;F;40-59
864;F;20-39
865;M;40-59
866;F;60+
867;F;20-39
868;F;40-59
869;M;20-39
870;M;40-59
871;F;20-39
872;M;<20
873;F;60+
874;M;60+
875;F;20-39
876;F;60+
877;M;20-39
878;M;20-39
879;F;60+
880;F;20-39
881;M;20-39
882;F;40-59
883;F;<20
884;M;20-39
885;M;20-39
886;M;40-59
887;M;<20
888;M;20-39
889;M;40-59
890;F;<20
891;M;20-39
892;F;40-59
893;M;40-59
894;M;<20
895;F;60+
896;F;40-59
897;M;20-39
898;M;40-59
899;M;40-59
900;F;40-59
901;M;20-39
902;M;40-59
903;M;60+
904;M;40-59
905;F;40-59
906;F;40-59
907;M;60+
908;M;60+
909;M;20-39
910;M;20-39
911;F;40-59
912;F;20-39
913;F;40-59
914;F;40-59
915;F;60+
916;F;20-39
917;M;40-59
918;M;20-39
919;M;20-39
920;F;<20
921;M;20-39
922;F;20-39
923;F;40-59
924;F;40-59
925;M;20-39
926;M;<20
927;M;<20
928;F;60+
929;F;60+
930;F;20-39
931;M;20-39
932;M;20-39
933;M;40-59
934;F;20-39
935;F;<20
936;M;20-39
937;F;20-39
938;M;20-39
939;F;<20
940;M;40-59
941;M;20-39
942;F;20-39
943;M;20-39
944;M;20-39
945;M;40-59
946;M;60+
947;F;<20
948;F;60+
949;F;40-59
950;M;40-59
951;F;20-39
952;M;20-39
953;M;<20
954;M;60+
955;F;40-59
956;F;20-39
957;F;20-39
958;F;<20
959;M;20-39
960;F;40-59
961;F;20-39
962;M;40-59
963;M;40-59
964;M;40-59
965;F;40-59
966;M;<20
967;F;40-59
968;M;40-59
969;F;20-39
970;M;20-39
971;M;20-39
972;M;20-39
973;M;20-39
974;F;<20
975;M;40-59
976;F;<20
977;M;<20
978;M;20-39
979;F;20-39
980;M;60+
981;F;20-39
982;F;20-39
983;F;20-39
984;M;20-39
985;M;40-59
986;F;40-59
987;M;20-39
988;M;40-59
989;M;20-39
990;F;60+
991;F;40-59
992;F;20-39
993;F;40-59
994;M;40-59
995;F;20-39
996;M;60+
997;F;60+
998;M;20-39
999;F;40-59
1000;M;40-59
1001;M;20-39
1002;M;20-39
1003;M;60+
1004;M;40-59
1005;F;20-39
1006;M;<20
1007;F;20-39
1008;M;60+
1009;F;40-59
1010;M;<20
1011;F;60+
1012;F;40-59
1013;M;20-39
1014;F;<20
1015;M;20-39
1016;M;<20
1017;F;20-39
1018;F;40-59
1019;M;60+
1020;M;20-39
1021;F;60+
1022;F;60+
1023;F;<20
1024;F;20-39
1025;F;40-59
1026;M;40-59
1027;F;20-39
1028;M;40-59
1029;F;40-59
1030;M;40-59
1031;F;40-59
1032;F;<20
1033;F;<20
1034;F;<20
1035;M;60+
1036;F;60+
1037;M;40-59
1038;M;<20
1039;M;40-59
1040;M;20-39
1041;M;20-39
1042;F;20-39
1043;F;40-59
1044;F;<20
1045;M;40-59
1046;M;60+
1047;M;40-59
1048;F;<20
1049;F;60+
1050;M;40-59
1051;F;20-39
1052;M;40-59
1053;M;60+
1054;M;20-39
1055;M;20-39
1056;F;20-39
1057;F;<20
1058;M;40-59
1059;F;<20
1060;F;20-39
1061;F;20-39
1062;F;20-39
1063;M;20-39
1064;F;40-59
1065;M;20-39
1066;F;20-39
1067;M;60+
1068;F;60+
1069;M;20-39
1070;M;20-39
1071;F;<20
1072;F;<20
1073;M;20-39
1074;F;60+
1075;F;40-59
1076;M;20-39
1077;F;60+
1078;M;20-39
1079;F;20-39
1080;M;20-39
1081;M;20-39
1082;F;60+
1083;F;20-39
1084;F;40-59
1085;F;20-39
1086;F;60+
1087;F;40-59
1088;F;20-39
1089;M;<20
1090;M;60+
1091;M;20-39
1092;F;20-39
1093;M;60+
1094;M;<20
1095;F;20-39
1096;M;20-39
1097;M;20-39
1098;F;20-39
1099;F;20-39
1100;M;<20
1101;M;<20
1102;M;<20
1103;F;60+
1104;F;40-59
1105;M;20-39
1106;F;20-39
1107;M;40-59
1108;M;<20
1109;F;20-39
1110;M;40-59
1111;M;20-39
1112;M;40-59
1113;F;60+
1114;F;40-59
1115;F;20-39
1116;M;<20
1117;M;20-39
1118;F;40-59
1119;M;60+
1120;F;60+
1121;F;20-39
1122;M;60+
1123;F;20-39
1124;M;40-59
1125;M;20-39
1126;F;<20
1127;F;<20
1128;F;60+
1129;F;20-39
1130;F;20-39
1131;F;20-39
1132;F;20-39
1133;M;60+
1134;F;<20
1135;F;<20
1136;M;40-59
1137;M;20-39
1138;M;<20
1139;M;<20
1140;F;20-39
1141;M;20-39
1142;F;<20
1143;F;20-39
1144;F;40-59
1145;M;60+
1146;M;60+
1147;F;20-39
1148;F;20-39
1149;M;60+
1150;F;40-59
1151;M;20-39
1152;F;20-39
1153;M;20-39
1154;M;20-39
1155;F;20-39
1156;M;<20
1157;M;60+
1158;M;40-59
1159;M;40-59
1160;F;20-39
1161;M;40-59
1162;F;40-59
1163;F;<20
1164;M;40-59
1165;M;40-59
1166;F;40-59
1167;F;20-39
1168;F;60+
1169;F;20-39
1170;M;<20
1171;M;<20
1172;F;20-39
1173;M;20-39
1174;F;20-39
1175;F;40-59
1176;F;20-39
1177;M;60+
1178;M;<20
1179;M;40-59
1180;M;60+
1181;F;40-59
1182;M;40-59
1183;M;40-59
1184;M;<20
1185;M;<20
1186;F;20-39
1187;M;<20
1188;F;20-39
1189;M;20-39
1190;F;60+
1191;M;60+
1192;M;40-59
1193;F;40-59
1194;F;<20
1195;F;<20
1196;M;40-59
1197;M;40-59
1198;F;20-39
1199;M;20-39
1200;F;20-39
1201;F;20-39
1202;F;20-39
1203;F;20-39
1204;F;40-59
1205;M;60+
1206;M;20-39
1207;F;40-59
1208;M;40-59
1209;M;<20
1210;M;40-59
1211;F;20-39
1212;F;40-59
1213;F;<20
1214;M;60+
1215;M;60+
1216;F;<20
1217;M;20-39
1218;F;20-39
1219;F;40-59
1220;M;40-59
1221;M;20-39
1222;M;40-59
1223;F;20-39
1224;F;20-39
1225;M;20-39
1226;F;20-39
1227;M;20-39
1228;M;20-39
1229;F;20-39
1230;M;60+
1231;M;20-39
1232;F;60+
1233;M;20-39
1234;F;40-59
1235;M;20-39
1236;M;40-59
1237;M;20-39
1238;M;<20
1239;M;<20
1240;M;<20
1241;F;60+
1242;M;60+
1243;M;40-59
1244;M;<20
1245;M;60+
1246;M;40-59
1247;F;20-39
1248;M;20-39
1249;F;40-59
1250;F;<20
1251;M;20-39
1252;M;40-59
1253;M;20-39
1254;F;20-39
1255;M;20-39
1256;F;40-59
1257;F;60+
1258;F;60+
1259;F;40-59
1260;F;40-59
1261;M;40-59
1262;M;20-39
1263;M;<20
1264;F;40-59
1265;F;40-59
1266;F;20-39
1267;M;60+
1268;F;40-59
1269;F;20-39
1270;M;<20
1271;F;<20
1272;M;20-39
1273;M;20-39
1274;F;20-39
1275;M;20-39
1276;M;20-39
1277;M;40-59
1278;M;40-59
1279;F;20-39
1280;F;20-39
1281;M;<20
1282;M;<20
1283;M;20-39
1284;F;<20
1285;F;20-39
1286;F;60+
1287;M;20-39
1288;M;40-59
1289;M;<20
1290;F;20-39
1291;M;60+
1292;F;20-39
1293;F;40-59
1294;M;60+
1295;M;20-39
1296;M;20-39
1297;M;20-39
1298;M;<20
1299;F;<20
1300;M;<20
1301;M;60+
1302;F;40-59
1303;F;20-39
1304;M;20-39
1305;F;40-59
1306;F;60+
1307;F;20-39
1308;F;20-39
1309;M;60+
1310;F;60+
1311;M;60+
1312;F;20-39
1313;F;<20
1314;M;20-39
1315;M;20-39
1316;F;60+
1317;F;<20
1318;M;40-59
1319;F;60+
1320;F;60+
1321;F;40-59
1322;M;60+
1323;M;<20
1324;F;20-39
1325;M;<20
1326;F;60+
1327;M;60+
1328;F;<20
1329;M;<20
1330;M;20-39
1331;F;20-39
1332;F;60+
1333;F;<20
1334;F;40-59
1335;F;20-39
1336;F;20-39
1337;M;<20
1338;F;60+
1339;F;40-59
1340;M;20-39
1341;M;20-39
1342;F;60+
1343;M;40-59
1344;F;40-59
1345;F;40-59
1346;F;60+
1347;M;20-39
1348;M;40-59
1349;M;20-39
1350;M;40-59
1351;F;60+
1352;F;60+
1353;M;20-39
1354;M;40-59
1355;F;60+
1356;M;60+
1357;F;40-59
1358;M;<20
1359;F;20-39
1360;M;60+
1361;F;40-59
1362;M;40-59
1363;F;40-59
1364;M;20-39
1365;M;20-39
1366;F;40-59
1367;M;20-39
1368;M;40-59
1369;M;40-59
1370;M;60+
1371;M;20-39
1372;F;40-59
1373;M;<20
1374;F;<20
1375;F;20-39
1376;M;<20
1377;F;60+
1378;F;60+
1379;F;<20
1380;M;40-59
1381;M;20-39
1382;M;40-59
1383;F;60+
1384;F;40-59
1385;F;<20
1386;M;<20
1387;F;20-39
1388;M;60+
1389;F;40-59
1390;M;20-39
1391;F;<20
1392;F;60+
1393;M;20-39
1394;M;40-59
1395;F;40-59
1396;M;20-39
1397;F;<20
1398;F;20-39
1399;F;20-39
1400;M;40-59
1401;M;40-59
1402;M;20-39
1403;F;20-39
1404;M;<20
1405;M;20-39
1406;M;40-59
1407;F;40-59
1408;M;40-59
1409;F;<20
1410;F;20-39
1411;F;20-39
1412;F;60+
1413;F;40-59
1414;F;60+
1415;M;<20
1416;F;20-39
1417;F;40-59
1418;F;20-39
1419;F;40-59
1420;F;20-39
1421;F;60+
1422;M;20-39
1423;M;60+
1424;M;20-39
1425;M;20-39
1426;M;20-39
1427;M;20-39
1428;M;60+
1429;F;60+
1430;M;60+
1431;F;60+
1432;F;40-59
1433;M;20-39
1434;M;60+
1435;M;<20
1436;F;40-59
1437;M;20-39
1438;F;40-59
1439;F;20-39
1440;F;20-39
1441;M;<20
1442;M;20-39
1443;M;20-39
1444;M;20-39
1445;M;20-39
1446;F;40-59
1447;F;20-39
1448;F;40-59
1449;F;<20
1450;M;40-59
1451;F;<20
1452;F;20-39
1453;F;20-39
1454;F;40-59
1455;M;20-39
1456;M;20-39
1457;M;20-39
1458;M;20-39
1459;F;20-39
1460;M;40-59
1461;F;20-39
1462;F;40-59
1463;M;20-39
1464;M;20-39
1465;F;20-39
1466;F;<20
1467;M;20-39
1468;M;40-59
1469;F;40-59
1470;M;20-39
1471;F;20-39
1472;M;60+
1473;M;<20
1474;F;20-39
1475;F;60+
1476;F;20-39
1477;M;<20
1478;F;20-39
1479;M;40-59
1480;M;<20
1481;M;40-59
1482;M;20-39
1483;F;20-39
1484;M;20-39
1485;F;40-59
1486;M;20-39
1487;F;40-59
1488;M;20-39
1489;F;<20
1490;M;20-39
1491;M;20-39
1492;F;20-39
1493;F;40-59
1494;F;60+
1495;M;40-59
1496;F;40-59
1497;F;20-39
1498;F;40-59
1499;M;20-39
1500;F;40-59
1501;F;60+
1502;F;20-39
1503;M;60+
1504;M;60+
1505;F;20-39
1506;F;60+
1507;F;<20
1508;M;<20
1509;M;20-39
1510;F;40-59
1511;M;20-39
1512;M;60+
1513;F;20-39
1514;F;20-39
1515;F;40-59
1516;M;<20
1517;M;40-59
1518;F;20-39
1519;M;60+
1520;M;40-59
1521;M;<20
1522;F;<20
1523;F;<20
1524;F;60+
1525;F;40-59
1526;M;20-39
1527;M;20-39
1528;M;60+
1529;M;20-39
1530;M;40-59
1531;M;40-59
1532;M;20-39
1533;F;20-39
1534;F;20-39
1535;M;20-39
1536;M;60+
1537;F;40-59
1538;F;60+
1539;F;20-39
1540;M;20-39
1541;F;40-59
1542;M;20-39
1543;M;20-39
1544;M;20-39
1545;M;40-59
1546;M;40-59
1547;M;20-39
1548;F;60+
1549;M;20-39
1550;M;20-39
1551;M;20-39
1552;M;40-59
1553;M;20-39
1554;M;20-39
1555;M;20-39
1556;F;40-59
1557;F;40-59
1558;F;20-39
1559;F;60+
1560;F;<20
1561;F;<20
1562;F;40-59
1563;F;40-59
1564;F;20-39
1565;F;20-39
1566;M;20-39
1567;M;20-39
1568;M;40-59
1569;M;60+
1570;M;20-39
1571;M;40-59
1572;F;40-59
1573;F;20-39
1574;F;20-39
1575;M;60+
1576;M;20-39
1577;F;40-59
1578;F;<20
1579;F;40-59
1580;F;20-39
1581;F;60+
1582;M;40-59
1583;M;<20
1584;M;40-59
1585;F;40-59
1586;F;20-39
1587;M;20-39
1588;F;40-59
1589;M;40-59
1590;M;20-39
1591;M;60+
1592;M;20-39
1593;F;<20
1594;M;40-59
1595;F;<20
1596;F;20-39
1597;M;20-39
1598;M;20-39
1599;F;20-39
1600;M;40-59
1601;F;20-39
1602;M;40-59
1603;F;40-59
1604;F;20-39
1605;M;20-39
1606;M;40-59
1607;F;20-39
1608;M;20-39
1609;M;60+
1610;M;40-59
1611;M;40-59
1612;F;<20
1613;F;<20
1614;M;20-39
1615;F;40-59
1616;M;20-39
1617;M;<20
1618;F;20-39
1619;F;40-59
1620;M;40-59
1621;M;<20
1622;F;<20
1623;F;20-39
1624;M;<20
1625;M;20-39
1626;F;<20
1627;M;40-59
1628;M;40-59
1629;M;60+
1630;M;60+
1631;M;20-39
1632;F;<20
1633;F;20-39
1634;F;40-59
1635;F;<20
1636;M;20-39
1637;M;20-39
1638;F;20-39
1639;M;40-59
1640;F;40-59
1641;F;20-39
1642;M;60+
1643;M;<20
1644;M;<20
1645;M;20-39
1646;M;40-59
1647;M;40-59
1648;F;<20
1649;F;60+
1650;F;20-39
1651;M;20-39
1652;M;40-59
1653;M;60+
1654;M;40-59
1655;F;60+
1656;M;20-39
1657;M;40-59
1658;F;40-59
1659;M;20-39
1660;M;20-39
1661;M;60+
1662;F;<20
1663;F;20-39
1664;M;60+
1665;F;60+
1666;F;60+
1667;F;60+
1668;M;<20
1669;M;60+
1670;F;20-39
1671;M;40-59
1672;F;20-39
1673;F;40-59
1674;M;40-59
1675;F;60+
1676;F;20-39
1677;F;20-39
1678;M;20-39
1679;F;<20
1680;F;40-59
1681;F;20-39
1682;F;20-39
1683;F;<20
1684;M;20-39
1685;M;40-59
1686;M;20-39
1687;F;20-39
1688;F;20-39
1689;F;20-39
1690;M;40-59
1691;F;20-39
1692;F;20-39
1693;M;40-59
1694;F;20-39
1695;F;40-59
1696;F;20-39
1697;M;60+
1698;F;20-39
1699;F;20-39
1700;F;60+
1701;F;40-59
1702;F;40-59
1703;M;60+
1704;F;<20
1705;M;40-59
1706;F;40-59
1707;M;20-39
1708;M;20-39
1709;F;<20
1710;M;60+
1711;F;<20
1712;M;20-39
1713;F;40-59
1714;F;40-59
1715;M;<20
1716;F;40-59
1717;M;20-39
1718;F;60+
1719;F;<20
1720;F;<20
1721;M;40-59
1722;M;<20
1723;F;20-39
1724;F;<20
1725;M;40-59
