id;nombre_autor;img_autor
36;Bernard Minier;https://imagessl.casadellibro.com/img/autores/w/20077431.webp
37;Claudia Piñeiro;https://imagessl.casadellibro.com/img/autores/w/40062.webp
38;Alex Michaelides;https://imagessl.casadellibro.com/img/autores/w/20106689.webp
39;Daniel Fopiani;
40;Cristian Perfumo;https://imagessl.casadellibro.com/img/autores/w/20110192.webp
41;Virginia Feito;https://imagessl.casadellibro.com/img/autores/w/20114369.webp
42;Alberto Caliani;https://imagessl.casadellibro.com/img/autores/w/20111695.webp
43;Camilla Läckberg;https://imagessl.casadellibro.com/img/autores/w/121705-3.webp
44;Ibon Martín;https://imagessl.casadellibro.com/img/autores/w/20109232.webp
45;James Patterson;https://imagessl.casadellibro.com/img/autores/w/8867-1.webp
46;Janice Hallett;https://imagessl.casadellibro.com/img/autores/w/20114629.webp
47;Douglas Preston;https://imagessl.casadellibro.com/img/autores/w/PRESTON, DOUGLAS.webp
48;M.C. Beaton;https://imagessl.casadellibro.com/img/autores/w/20099666.webp
49;Eric Ambler;
50;Gregg Dunnett;
51;Richard Osman;https://imagessl.casadellibro.com/img/autores/w/20108637.webp
52;Sash Bischoff;
53;Paul Richardot;
54;Dreda Say Mitchell;
55;Mikel Santiago;https://imagessl.casadellibro.com/img/autores/w/20094270-1.webp
56;Paul Pen;https://imagessl.casadellibro.com/img/autores/w/158018.webp
57;Mark Frost;
58;Helene Tursten;
59;Manel Loureiro;https://imagessl.casadellibro.com/img/autores/w/ManelLoureirofot.webp
60;Agustín Martínez;https://imagessl.casadellibro.com/img/autores/w/20096072-1.webp
61;FRAN ORTEGA;
62;Elizabeth Blake;
63;Teresa Cardona;https://imagessl.casadellibro.com/img/autores/w/20115280.webp
64;Jesse Q. Sutanto;
65;Oriol Canals;
66;Robert Harris;https://imagessl.casadellibro.com/img/autores/w/16943.webp
67;Akimitsu Takagi;
68;Pablo Rivero;https://imagessl.casadellibro.com/img/autores/w/100905-2.webp
69;Hermelo Molero;
70;Elia Barceló;https://imagessl.casadellibro.com/img/autores/w/39156-1.webp
71;Sara Barquinero;https://imagessl.casadellibro.com/img/autores/w/20112741.webp
72;Colleen Hoover;https://imagessl.casadellibro.com/img/autores/w/20091916.webp
73;H.D. Carlton;https://imagessl.casadellibro.com/img/autores/w/HDCarlton_v2.webp
74;Danielle Lori;https://imagessl.casadellibro.com/img/autores/w/20118297.webp
75;Rina Kent;
76;Leigh Rivers;
77;Eva Muñoz;
78;Sierra Simone;
79;Megan Maxwell;https://imagessl.casadellibro.com/img/autores/w/158151_2024.webp
80;RuNyx;https://imagessl.casadellibro.com/img/autores/w/20119551.webp
81;Noemí Casquet;https://imagessl.casadellibro.com/img/autores/w/noemicasquet.webp
82;E.L. James;https://imagessl.casadellibro.com/img/autores/w/20080030.webp
83;Javier Canga Larequi;
84;Elísabet Benavent;https://imagessl.casadellibro.com/img/autores/w/20090633-1.webp
85;José Luis Garci;https://imagessl.casadellibro.com/img/autores/w/45889.webp
86;Ruby Dixon;
87;Almudena Grandes;https://imagessl.casadellibro.com/img/autores/w/AlmudenaGrandes.webp
88;Cristina Prada;https://imagessl.casadellibro.com/img/autores/w/CristinaPrada.webp
89;Pauline Reage;
90;B. Easton;https://imagessl.casadellibro.com/img/autores/w/20110096.webp
91;Blanka Lipinska;https://imagessl.casadellibro.com/img/autores/w/20110338.webp
92;Guillaume Apollinaire;https://imagessl.casadellibro.com/img/autores/w/21423.webp
93;J. Kenner;https://imagessl.casadellibro.com/img/autores/w/20092312.webp
94;Varios autores;
95;JOAO UBALDO RIBEIRO;
96;John Cleland;
97;Antonio Elio Brailovsky;
98;Sibila Freijo;https://imagessl.casadellibro.com/img/autores/w/20099320.webp
99;Laurelin Paige;https://imagessl.casadellibro.com/img/autores/w/lauren-paige.webp
100;Indigo Bloome;
101;Joanna Bolouri;
102;Jodi Ellen Malpas;https://imagessl.casadellibro.com/img/autores/w/20092842-1.webp
103;Georges Bataille;
104;Annick Foucault;
105;Manuel Vilas;https://imagessl.casadellibro.com/img/autores/w/manuelvilas2.webp
106;Emmanuelle Arsan;
107;Ian Smith;
108;Pablo Méndez;
109;Eleanor Rigby;
110;Fátima Corral;https://imagessl.casadellibro.com/img/autores/w/20108805.webp
111;PANDORA REBATO;
112;Javier Lahoz;
113;PIERRE LOUYS;
114;VINA JACKSON;
115;José Mondelo;
116;Amalia Lú Posso Figueroa;
117;Josep Franco;
118;ESTEBAN MANCAL;
119;Paula Rivers;
120;CRISTINA GARCIA BROCOS;
121;Julia Quinn;https://imagessl.casadellibro.com/img/autores/w/100658-1.webp
122;Ana Huang;https://imagessl.casadellibro.com/img/autores/w/20116628.webp
123;Elsie Silver;https://imagessl.casadellibro.com/img/autores/w/20119887.webp
124;Andrea Longarela;https://imagessl.casadellibro.com/img/autores/w/AndreaLongarela.webp
125;Violeta Reed;https://imagessl.casadellibro.com/img/autores/w/20116293.webp
126;Keri Lake;https://imagessl.casadellibro.com/img/autores/w/20122203.webp
127;Brigitte Knightley;
128;Ali Hazelwood;https://imagessl.casadellibro.com/img/autores/w/20115038-1.webp
129;Penelope Douglas;https://imagessl.casadellibro.com/img/autores/w/penelopedouglas.webp
130;Sonia Cámara;
131;J.T. Geissinger;https://imagessl.casadellibro.com/img/autores/w/20120909.webp
132;Tamara Molina;https://imagessl.casadellibro.com/img/autores/w/20119559-1.webp
133;Navessa Allen;
134;Jess GR;
135;Nikki St. Crowe;https://imagessl.casadellibro.com/img/autores/w/20122204.webp
136;Teresa López Cerdán;https://imagessl.casadellibro.com/img/autores/w/20117428.webp
137;SenLinYu;
138;Inma Rubiales;https://imagessl.casadellibro.com/img/autores/w/20110490-1.webp
139;Kristin Cast;
140;Laura Thalassa;
141;Kristina Moninger;
142;Carmen Santaella;
143;Morgan Bridges;
144;Alice Kellen;https://imagessl.casadellibro.com/img/autores/w/20097119-5.webp
145;Ashley Poston;
146;María Martínez;https://imagessl.casadellibro.com/img/autores/w/20106147.webp
147;Emily McIntire;https://imagessl.casadellibro.com/img/autores/w/20118233.webp
148;Carolina Iglesias;
149;Lyla Sage;https://imagessl.casadellibro.com/img/autores/w/20119976.webp
150;Adriana Criado;
151;Cristina Prieto Solano;https://imagessl.casadellibro.com/img/autores/w/CristinaPrietoSolano.webp
152;Bailey Hannah;
153;Brynne Weaver;https://imagessl.casadellibro.com/img/autores/w/20119653.webp
154;Hannah Grace;https://imagessl.casadellibro.com/img/autores/w/20118976.webp
155;Elena Montagud;https://imagessl.casadellibro.com/img/autores/w/20095625.webp
156;Katee Robert;https://imagessl.casadellibro.com/img/autores/w/KateeRobert.webp
157;Florencia Bonelli;https://imagessl.casadellibro.com/img/autores/72264-1.JPG
158;May Boeken;
159;Nora Roberts;https://imagessl.casadellibro.com/img/autores/w/1624.webp
160;Peyton Corinne;
161;Monica Murphy;https://imagessl.casadellibro.com/img/autores/w/20120270.webp
162;Harley Laroux;https://imagessl.casadellibro.com/img/autores/w/20120087.webp
163;Loles Lopez;https://imagessl.casadellibro.com/img/autores/w/LolesLopez.webp
164;Sophie Lark;
165;Lisina Coney;
166;Rebecca Yarros;https://imagessl.casadellibro.com/img/autores/w/20118772-1.webp
167;Laurie Gilmore;
168;Ana Cabo;
169;Angy Skay;https://imagessl.casadellibro.com/img/autores/w/20096177.webp
170;Emily Henry;https://imagessl.casadellibro.com/img/autores/w/20112576.webp
171;Vanesa Osoario;
172;Abby Jimenez;
173;Santiago Posteguillo;https://imagessl.casadellibro.com/img/autores/w/SANTIAGOPOSTEGUILLO2Jeosm.webp
174;Ildefonso Falcones;https://imagessl.casadellibro.com/img/autores/w/Ildefonso Falcones (c) Juan TomÃ¡s.webp
175;Inma Aguilera;https://imagessl.casadellibro.com/img/autores/w/20119838.webp
176;Vanessa Montfort;https://imagessl.casadellibro.com/img/autores/w/117928-1.webp
177;Jorge Molist;https://imagessl.casadellibro.com/img/autores/w/77091-1.webp
178;Ken Follett;https://imagessl.casadellibro.com/img/autores/w/3121-2.webp
179;José Soto Chica;https://imagessl.casadellibro.com/img/autores/w/20083905.webp
180;José Calvo Poyato;https://imagessl.casadellibro.com/img/autores/w/21270.webp
181;Rafael Sabatini;
182;Kai Meyer;
183;Verónica Martínez Amat;
184;Elvira Roca Barea;https://imagessl.casadellibro.com/img/autores/w/96453-2.webp
185;Daniel Corpas Hansen;https://imagessl.casadellibro.com/img/autores/w/20079967.webp
186;Carmen Blanco Sanjurjo;
187;Jesús Bastante;
188;Pilar Sánchez Vicente;https://imagessl.casadellibro.com/img/autores/w/PilarSanchezVicente.webp
189;Luis Zueco;https://imagessl.casadellibro.com/img/autores/w/157788.webp
190;Patxi Irurzun;
191;Javier Arribas;https://imagessl.casadellibro.com/img/autores/w/20086317.webp
192;Valerio Massimo Manfredi;https://imagessl.casadellibro.com/img/autores/w/v_m_manfredi.webp
193;Andrea D. Morales;
194;Reyes Monforte;https://imagessl.casadellibro.com/img/autores/w/121560-2.webp
195;Carlos Bassas del Rey;
196;Yeyo Balbás;https://imagessl.casadellibro.com/img/autores/w/20077726.webp
197;José Zoilo Hernández González;https://imagessl.casadellibro.com/img/autores/w/20105623.webp
198;Bjorn Andreas Bull-Hansen;
199;David B. Gil;
200;Kenizé Mourad;https://imagessl.casadellibro.com/img/autores/w/MOURAD, KENIZE.webp
201;Marguerite Yourcenar;https://imagessl.casadellibro.com/img/autores/w/Yourcenar_foto.webp
202;Paco Cerdà;https://imagessl.casadellibro.com/img/autores/w/20099168.webp
203;Casa del Libro;https://imagessl.casadellibro.com/img/autores/w/ArturoPerezReverte.webp
204;Jean M. Auel;https://imagessl.casadellibro.com/img/autores/w/81527.webp
205;Olga Tokarczuk;https://imagessl.casadellibro.com/img/autores/w/34141.webp
206;KATE O BRIEN;
207;James Clavell;https://imagessl.casadellibro.com/img/autores/w/116797.webp
208;Christian Gálvez;https://imagessl.casadellibro.com/img/autores/w/149051-1.webp
209;León Arsenal;
210;Mario Vargas Llosa;https://imagessl.casadellibro.com/img/autores/w/2266_2023.webp
211;Olalla García;
212;Luis Manuel López Román;
213;Sigrid Undset;
214;Andrea Frediani;
215;Umberto Eco;
216;Marta Cibelina;https://imagessl.casadellibro.com/img/autores/w/20113694.webp
217;Jerónimo Farré;
218;Ernest Prunera;
219;Alejandro Paternain;
220;Manuel Mujica Lainez;https://imagessl.casadellibro.com/img/autores/w/manuelmujicalainez.webp
221;Matthew Harffy;
222;Julia Navarro;https://imagessl.casadellibro.com/img/autores/w/13668-1.webp
223;Luis García Jambrina;https://imagessl.casadellibro.com/img/autores/w/14983.webp
224;Javier Más;
225;Zülfü Livaneli;https://imagessl.casadellibro.com/img/autores/w/zulfu-livaneli.webp
226;Lluc Oliveras;
227;Alejandro Núñez Alonso;
228;Virginia Tangvald;
229;Lidia G. Merenciano;
230;A. E. W. Mason;https://imagessl.casadellibro.com/img/autores/w/103798.webp
231;Laurent Binet;https://imagessl.casadellibro.com/img/autores/w/158213.webp
232;Jesús Sánchez Adalid;https://imagessl.casadellibro.com/img/autores/w/78368.webp
233;Tamenaga Shunsui;
234;Susan Abulhawa;
235;Harriet Constable;
236;Robert Graves;https://imagessl.casadellibro.com/img/autores/w/robert_graves.webp
237;Patrick O'Brian;https://imagessl.casadellibro.com/img/autores/w/OBrian.webp
238;Alfonso Goizueta;https://imagessl.casadellibro.com/img/autores/w/20118996-1.webp
239;Natalie Haynes;
240;Tània Juste;https://imagessl.casadellibro.com/img/autores/w/20109259-1.webp
241;J. R. R. Tolkien;https://imagessl.casadellibro.com/img/autores/w/24-1.webp
242;Joe Abercrombie;https://imagessl.casadellibro.com/img/autores/w/121490-1.webp
243;R.F. Kuang;https://imagessl.casadellibro.com/img/autores/w/20117322.webp
244;V.E. Schwab;https://imagessl.casadellibro.com/img/autores/w/20106143.webp
245;Danielle L. Jensen;
246;Stella Tack;https://imagessl.casadellibro.com/img/autores/w/20120226.webp
247;Thea Guanzon;
248;George R.R. Martin;https://imagessl.casadellibro.com/img/autores/w/51063.webp
249;Robin Hobb;https://imagessl.casadellibro.com/img/autores/w/4401.webp
250;Lucía Cerezo;
251;James Islington;
252;Brandon Sanderson;https://imagessl.casadellibro.com/img/autores/w/112468-2.webp
253;Karen Wynn Fonstad;
254;Elise Kova;https://imagessl.casadellibro.com/img/autores/w/20114734.webp
255;Raisa Martín Espinosa;
256;Hazel McBride;https://imagessl.casadellibro.com/img/autores/w/20122185.webp
257;Jay Kristoff;
258;Raven Kennedy;https://imagessl.casadellibro.com/img/autores/w/20116358.webp
259;Harper L. Woods;
260;Kerri Maniscalco;https://imagessl.casadellibro.com/img/autores/w/20103779.webp
261;Robert Jordan;https://imagessl.casadellibro.com/img/autores/w/3156.webp
262;Aloma Martínez;
263;Tricia Levenseller;https://imagessl.casadellibro.com/img/autores/w/20114605.webp
264;Lev Grossman;
265;Laura Steven;https://imagessl.casadellibro.com/img/autores/w/20121090.webp
266;Adrian Tchaikovsky;
267;Ursula K. Le Guin;https://imagessl.casadellibro.com/img/autores/w/17674.webp
268;Samantha Shannon;https://imagessl.casadellibro.com/img/autores/w/20094136.webp
269;Miriam Mosquera;
270;Patrick Rothfuss;https://imagessl.casadellibro.com/img/autores/w/139106.webp
271;R. A. Salvatore;https://imagessl.casadellibro.com/img/autores/w/10527v3.webp
272;Belén Martínez;
273;Pierce Brown;
274;Kim Sung-Li;
275;John Gwynne;
276;Peter S. Beagle;
277;Ana María Matute;https://imagessl.casadellibro.com/img/autores/w/AnaMariaMatute.webp
278;Sarah Beth Durst;
279;Matt Dinniman;
280;Andy Weir;
281;J. J. Benítez;https://imagessl.casadellibro.com/img/autores/w/benitez 200.webp
282;John French;
283;Martha Wells;
284;Guy Haley;
285;Hugh Howey;https://imagessl.casadellibro.com/img/autores/w/20090637.webp
286;Anne de Marcken;
287;Chris Wraight;
288;Sabino Cabeza Abuín;https://imagessl.casadellibro.com/img/autores/w/20108860.webp
289;James Luceno;
290;Dmitry Glukhovsky;https://imagessl.casadellibro.com/img/autores/w/157824.webp
291;Cixin Liu;https://imagessl.casadellibro.com/img/autores/w/20097961.webp
292;Stanislaw Lem;https://imagessl.casadellibro.com/img/autores/w/37982.webp
293;Nick Kyme;
294;Ted Chiang;
295;Daniel Keyes;
296;Douglas Adams;
297;Dan Abnett;
298;YEVGENY ZAMYATIN;
299;Robert Shea;
300;Ken Liu;https://imagessl.casadellibro.com/img/autores/w/20099012.webp
301;James S. A. Corey;
302;Robert Rath;
303;John Scalzi;
304;Hitori Nojima;
305;Graham McNeill;
306;Aaron Dembski-Bowden;
307;Ben Counter;
308;William King;
309;John Jackson Miller;
310;China Mieville;https://imagessl.casadellibro.com/img/autores/w/31807.webp
311;William Gibson;
312;Neal Stephenson;
313;Darius Hinks;
314;Herbert George Wells;https://imagessl.casadellibro.com/img/autores/w/wells_foto0.webp
315;Philip K. Dick;https://imagessl.casadellibro.com/img/autores/w/20165.webp
316;Isaac Asimov;https://imagessl.casadellibro.com/img/autores/w/20439.webp
317;Ray Bradbury;https://imagessl.casadellibro.com/img/autores/w/2932.webp
318;Tamsyn Muir;
319;Josh Reynolds;
320;Arthur C. Clarke;https://imagessl.casadellibro.com/img/autores/w/ac_clarke.webp
321;Angélica Gorodischer;
322;Anna Starobinets;
323;Silvia Moreno-García;https://imagessl.casadellibro.com/img/autores/w/20111691.webp
324;Michel Nieva;
325;Alexis Ravelo;https://imagessl.casadellibro.com/img/autores/w/alexis_ravelo.webp
326;Orson Scott Card;https://imagessl.casadellibro.com/img/autores/w/18651.webp
327;George Mann;
328;Gareth Brown;
329;Arkady Martine;
330;James Swallow;
331;Anthony Burgess;
332;Walter Tevis;https://imagessl.casadellibro.com/img/autores/w/140918.webp
333;Timothy Zahn;
334;Peter Watts;
335;Mark Z. Danielewski;https://imagessl.casadellibro.com/img/autores/w/23580.webp
336;Bram Stoker;https://imagessl.casadellibro.com/img/autores/w/BramStoker.webp
337;Mariana Enriquez;https://imagessl.casadellibro.com/img/autores/w/20098876-1.webp
338;Carlos di Urarte;
339;Clark Ashton Smith;
340;J.D. Barker;https://imagessl.casadellibro.com/img/autores/w/20102446.webp
341;H.P. Lovecraft;https://imagessl.casadellibro.com/img/autores/w/24330.webp
342;Nanami Kamon;
343;Grady Hendrix;https://imagessl.casadellibro.com/img/autores/w/20094993.webp
344;Thomas Olde Heuvelt;
345;Fernando Navarro;https://imagessl.casadellibro.com/img/autores/w/85486.webp
346;Alasdair Gray;https://imagessl.casadellibro.com/img/autores/w/61715.webp
347;Stephen Graham Jones;https://imagessl.casadellibro.com/img/autores/w/20113936.webp
348;Carlos Sisí;https://imagessl.casadellibro.com/img/autores/w/149893-1.webp
349;Henry James;https://imagessl.casadellibro.com/img/autores/w/28529.webp
350;Robert Louis Stevenson;https://imagessl.casadellibro.com/img/autores/w/204.webp
351;Shirley Jackson;https://imagessl.casadellibro.com/img/autores/w/21889.webp
352;Sara Gran;
353;Deborah Harkness;https://imagessl.casadellibro.com/img/autores/w/157566-1.webp
354;Malenka Ramos;https://imagessl.casadellibro.com/img/autores/w/20093699.webp
355;Clive Barker;https://imagessl.casadellibro.com/img/autores/w/3051.webp
356;Edgar Allan Poe;https://imagessl.casadellibro.com/img/autores/w/EDGAR ALLAN POE.webp
357;Jean-Paul Tremblay;
358;Robert Chambers;
359;Peter Benchley;
360;ALFRED HITCHCOCK;https://imagessl.casadellibro.com/img/autores/w/11269.webp
361;Michael McDowell;https://imagessl.casadellibro.com/img/autores/w/123009.webp
362;Mary Shelley;
363;Adam Nevill;
364;Karl Ove Knausgård;https://imagessl.casadellibro.com/img/autores/w/20098101.webp
365;E. B. Hudspeth;
366;David Jasso;
367;Kiersten White;https://imagessl.casadellibro.com/img/autores/w/20078418.webp
368;Todd Keisling;
369;Guy de Maupassant;https://imagessl.casadellibro.com/img/autores/w/3189.webp
370;T. Kingfisher;https://imagessl.casadellibro.com/img/autores/w/20119017.webp
371;Jack Ketchum;https://imagessl.casadellibro.com/img/autores/w/113647.webp
372;Catriona Ward;https://imagessl.casadellibro.com/img/autores/w/20112523.webp
373;Juan Miguel Aguilera;
374;Thomas Ligotti;
375;Vicente García;
376;Jesús Cañadas;https://imagessl.casadellibro.com/img/autores/w/20091967.webp
377;Horace Walpole;
378;Richard Chizmar;
379;Joe Schreiber;
380;Sheridan Le Fanu;https://imagessl.casadellibro.com/img/autores/w/1482.webp
381;Nieves Mories;
